name,latitude,longitude
Trinity Shopping Centre,53.7965,-1.5425
Train station,53.7956,-1.5472
Merrion centre,53.8013,-1.5432
LRI hospital,53.8025,-1.5528
UoL Edge sports centre,53.8039,-1.5530
